time, /rosout cpu, /rosout mem, /cpu_monitor cpu, /cpu_monitor mem
1738665691779658555, 0.000000, 21991424.000000, 0.000000, 71421952.000000
1738665692782718896, 0.000000, 21991424.000000, 0.000000, 71421952.000000
1738665693785848379, 0.000000, 21991424.000000, 0.000000, 71421952.000000
1738665694794259548, 1.000000, 21991424.000000, 0.000000, 71421952.000000
1738665695804299354, 0.000000, 21991424.000000, 1.000000, 71421952.000000
1738665696807542324, 0.000000, 21991424.000000, 0.000000, 71421952.000000
1738665697814626932, 0.000000, 21991424.000000, 0.000000, 71421952.000000
1738665698817883968, 0.000000, 21991424.000000, 1.000000, 71421952.000000
1738665699822021007, 0.000000, 21991424.000000, 0.000000, 71421952.000000
1738665700832153081, 0.000000, 21991424.000000, 1.000000, 71421952.000000
1738665701835695981, 1.000000, 21991424.000000, 0.000000, 71421952.000000
1738665702838878154, 0.000000, 21991424.000000, 0.000000, 71421952.000000
1738665703841796159, 0.000000, 21991424.000000, 0.000000, 71421952.000000
1738665704844746351, 0.000000, 21991424.000000, 0.000000, 71421952.000000
1738665705855153322, 0.000000, 21991424.000000, 1.000000, 71421952.000000
1738665706858520507, 0.000000, 21991424.000000, 0.000000, 71421952.000000
1738665707862413644, 0.000000, 21991424.000000, 1.000000, 71421952.000000
1738665708865398645, 0.000000, 21991424.000000, 0.000000, 71421952.000000
1738665709868335723, 0.000000, 21991424.000000, 0.000000, 71421952.000000
1738665710871177196, 0.000000, 21991424.000000, 0.000000, 71421952.000000
